region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
242,353.624495113081,-36.098203381941424,353.6244367749705,-36.09822190140537,353.62443752787743,-36.0982202641746,1.296408962885715,0.8944271860284859,0.4345776694176623,0.43453217914977804,33,260.60754001708307,4.61556235403366
243,353.61225503243884,-36.10959185222648,353.6123721729155,-36.10958458242648,353.61235572480234,-36.10960393809387,2.717496892263898,2.2360679531257293,0.9922721858419724,0.9886659059900818,145,271.047531059756,12.43656213972448
244,353.63178252396165,-36.091925262208385,353.6319053932198,-36.092034062637765,353.6318836461883,-36.092019064767264,2.933785834448333,2.4331050030202355,1.2246962258571037,1.2218688213183342,169,452.2316675337888,12.265495687068608
245,353.60015405807195,-36.10303465930809,353.59993274235757,-36.10286615924075,353.5999734654142,-36.10287881022597,2.8096414677602564,3.3105891054764403,1.3677873592249115,1.361887579404467,155,418.6759506009927,8.743849806682695
246,353.6278633064675,-36.08564772347944,353.6279124038082,-36.08555565777951,353.6278967748882,-36.08556351305213,1.335116235624909,1.01980394318993,0.4251869785882838,0.42180187137381187,35,180.21012766405124,4.830850063334072
247,353.6161056513137,-36.11309211797686,353.6160939302114,-36.11308075370628,353.616099020987,-36.113084476656844,2.1170269713604912,1.2000000446253185,0.6570061755402711,0.6567025845983308,88,148.21424781733262,8.56430149647259
248,353.60991741969514,-36.10686940855977,353.60979517144625,-36.10687919963527,353.609831289665,-36.10687993891328,2.7914558950087667,2.236067972455329,1.0378215438100395,1.032487741719083,153,323.599050708135,8.006355805774554
250,353.6053108197711,-36.10425772808322,353.6052518687971,-36.10431503886433,353.60526684375253,-36.1043126496888,2.533204947386851,1.7888543769046206,0.8645768033817833,0.863436116468737,126,359.1512278599754,7.881497545035502
251,353.6212634961866,-36.10314783684004,353.6211421536049,-36.10317888128157,353.6211453633702,-36.10318235344278,1.3159049284959083,1.1661904161571763,0.5232758474805995,0.5230432160328946,34,415.70424516670363,6.419211611199704
252,353.6151454587445,-36.08553650825955,353.61511185698697,-36.085462432123414,353.61512000641426,-36.08547186008642,1.5138795132120961,1.280624892735557,0.5060967348521761,0.504400448593466,45,202.95778186099284,7.301737261043914
253,353.6126691154023,-36.097702997976526,353.61262329402604,-36.097577332841716,353.61262222289304,-36.0975884767191,1.4625465582862907,1.6124515918967202,0.6284604141315351,0.6271708965480287,42,467.79061487199823,8.765558717347073
254,353.6288954577536,-36.09759211707579,353.6289590215972,-36.09755961890483,353.62895262634817,-36.09756977330173,1.6429448666460311,1.5620499510725812,0.6622769803963034,0.6610056008081041,53,432.0241519681837,8.805183296046511
255,353.6103983811543,-36.109369457782456,353.6102937922601,-36.10931973961505,353.61030644453666,-36.109334259860724,3.110726690017501,2.340939982604709,1.287753823282869,1.2861661454304887,190,394.4326902667237,13.183209717171549
256,353.63157677306054,-36.09625861117947,353.631625282594,-36.09623717489493,353.63160039438645,-36.096238647492704,3.1675112647807717,2.2360680248333478,1.1376696829399002,1.1353514093127126,197,228.08127749861941,7.465290861829744
257,353.6141123340649,-36.10381421817122,353.6141493905085,-36.10377795130284,353.6141616480955,-36.1037631192361,3.135188875547286,2.4166091914362813,1.2188253343205684,1.2171331096313316,193,352.05884528875896,6.364153588631535
258,353.59630651302206,-36.09392277294122,353.59633881480005,-36.09393348945561,353.5963237003591,-36.093920926245424,2.056004690782767,1.2806248022572662,0.7157709715179136,0.7129862475498795,83,374.8297766983264,8.737058551370454
259,353.59995491553497,-36.07814573500634,353.6000361185911,-36.07826292186413,353.6000125928396,-36.07827366139914,2.366908109081279,1.6492422109934939,0.8108954834891208,0.807075793812249,110,164.16867281943016,10.573661313304862
260,353.60971251085357,-36.09836938707115,353.60968147577745,-36.09827022008104,353.6096825587448,-36.09828201215831,2.176338922689847,1.456022016231974,0.7230103884295906,0.7217561708585022,93,284.76339837356204,6.820513170451173
262,353.60620339434956,-36.11064674089105,353.60618047178025,-36.1106477665807,353.60618560624465,-36.11064948961515,1.6583719174624105,0.8944272258329216,0.5431427091150213,0.542901956256712,54,297.3125864242431,8.744915259143342
263,353.60173623662916,-36.10042383149059,353.60172538703597,-36.10039751381785,353.60172390692617,-36.10039818621207,0.983698151873187,0.600000016709318,0.3536779684644384,0.35364347957479786,19,478.78957460745636,8.371895986616115
264,353.6224324283945,-36.097870065300384,353.6224939468028,-36.09790076705595,353.6224846893458,-36.097897733079144,1.3911592676604096,0.8944271561803643,0.47656421969844803,0.4756774283073556,38,285.42927053875707,6.9612031285491565
265,353.6220885556872,-36.116147842025285,353.6221156135316,-36.11613418089892,353.6221127759353,-36.11612778472458,1.7625846048215097,1.0198038951124584,0.5750661087460196,0.5745456668968533,61,160.97412515817396,8.774129716447908
266,353.6180321502585,-36.09614776054902,353.6179717294112,-36.09615365053952,353.61797103661917,-36.096151957004864,1.8333991376950163,1.264911093894396,0.6490476961172555,0.6490159323780951,66,309.5612973510197,5.249169286831826
267,353.6266269812483,-36.10631443862322,353.62665563084266,-36.10628125861054,353.62664657541757,-36.10629328172463,1.9149229459268768,1.4142136089113921,0.665857378303885,0.6639268954676453,72,255.54390659843207,5.329669644710922
269,353.59953902831444,-36.08997898847377,353.59956342920066,-36.089958085107945,353.5995652852837,-36.08996620168418,2.176338922689847,1.4142135851913205,0.6919308079031259,0.6912924834960926,93,175.2223793296696,6.707804996749037
270,353.6070947858177,-36.12381352355792,353.60695607985446,-36.12385015854702,353.60699618002974,-36.1238438669454,3.5034310627222234,2.7202941307995165,1.2892578550915808,1.283774014671712,241,229.85176000854742,12.374255071166942
271,353.60915864290973,-36.12086932593961,353.6091759375998,-36.120965321782144,353.6091774161589,-36.12094111766189,2.7361740666563517,2.408318869819532,1.0155895118855893,1.011835504632917,147,343.82782399229944,11.545849520450167
272,353.5997408201681,-36.105367915171605,353.59976306464216,-36.10526791936517,353.59976315094855,-36.10526842652073,1.819456736586892,1.3416408189732425,0.6461620669354844,0.6461594387851758,65,583.9635735120306,10.660547332233916
273,353.60008586799347,-36.101034646681796,353.60024953002437,-36.101044849168254,353.600246702563,-36.10104810330879,1.9015783725757567,1.8973665944491764,0.7538908831782931,0.7537549903407413,71,519.0938569525865,10.164756525602586
274,353.59836488930574,-36.10758986934985,353.59834419223324,-36.107593101432386,353.59835445312285,-36.10758844275774,2.2903595622322865,1.5620499588608499,0.8028352060992356,0.8021050131842232,103,288.2962458613595,7.700618302165232
275,353.61535038677164,-36.099925409109204,353.6154003928001,-36.099920361547774,353.61539704227073,-36.09992217544465,1.4969641274038221,1.019803895144569,0.5213356840566662,0.5212036756188162,44,452.1108547015887,5.4028580309297665
