region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
275,139.47669255427277,-22.354785977625163,139.47665930011803,-22.354761177323258,139.47665901865145,-22.3547632939719,2.388328528576739,1.4422204714828744,0.7539953912036409,0.7539563039963223,112,366.382363752712,16.771114539298445
276,139.45476651869117,-22.3590075670363,139.4546711100082,-22.35901164280966,139.45467320885683,-22.359016043337284,1.8609705966725114,1.2806248619745448,0.6433496734101252,0.6431166357798245,68,1143.2605618182502,24.154467680975575
277,139.4915293461901,-22.35145139826031,139.49126249346983,-22.35151397055984,139.4913154893918,-22.351491412514648,3.0528860881895663,2.5059928150034048,1.0464885793074146,1.0283036451048124,183,356.12332369947234,14.273239233162137
278,139.45434745228462,-22.34656308215881,139.45447770174778,-22.346562802575484,139.45447045606514,-22.346539814139124,3.110726690017501,2.5298221378488117,1.0871067372838137,1.0836835642697382,190,414.356268691805,19.785633093849505
279,139.4634183104312,-22.330285948717947,139.46347836555807,-22.330373121326645,139.46348374547313,-22.33036145267937,3.0361578193306387,2.332380777541816,1.0358257095942547,1.0348185076223941,181,394.50560985396186,19.442131480372804
280,139.47909458151608,-22.34234142340107,139.47917589725253,-22.342400375979974,139.47917562619955,-22.342402998769757,2.7361740666563517,2.340940008664264,1.0589971479670373,1.0589546697756291,147,1579.126500526415,31.892200162454433
281,139.47140625566345,-22.335397206934054,139.47116921204915,-22.33535572671516,139.47118622637916,-22.33536253794287,1.9544100476116797,2.690724767496006,0.9401559318118514,0.938126856300224,75,824.4202929857793,20.894149698958635
282,139.46461879552828,-22.347174883335285,139.46454948801824,-22.347168470602455,139.46456245828773,-22.347171976304498,2.573100393032275,1.9999999603788912,0.8589156331040382,0.857736404805066,130,551.470724789294,14.792608521312006
283,139.48684339424557,-22.346340826891357,139.48688077025722,-22.346303865575376,139.48687330892815,-22.346301252750077,3.444792091974742,2.4083189565292145,1.171532012450202,1.171230794886283,233,418.5697763448764,19.496301238340916
284,139.48390062473266,-22.351341096615627,139.48408082673825,-22.351304044588552,139.48407521813022,-22.351306389539253,1.5138795132120961,1.4560219893319413,0.5945624036142404,0.5942091112923868,45,1520.1585353783782,28.710816121272902
285,139.44941890121473,-22.36711807546471,139.44929410073772,-22.36710159841796,139.44929300652078,-22.36707797156521,3.8892268886571446,2.778488818083087,1.3288597703613476,1.3261298505788335,297,324.02611053772466,14.648515663799737
286,139.44551633891734,-22.354061970596344,139.44558879587518,-22.35405224513236,139.44557453362506,-22.354052695553612,2.222649192646566,1.7088007827008285,0.7556783567297213,0.7541831746497794,97,498.2679986144192,22.857879701961906
287,139.4684629506387,-22.35545275282083,139.46848395686365,-22.355450367261803,139.46845925345383,-22.355447209440467,2.881236163814633,2.0396077741975733,1.0689516015973222,1.0657220590951024,163,1082.2998166179775,23.085045204721535
288,139.47116600016636,-22.33373054173406,139.47126073542756,-22.333719659274088,139.4712178231718,-22.33373116959122,2.222649192646566,2.154065957013715,0.7950486662577948,0.7810033075063876,97,373.8927514925705,16.5609888358915
289,139.46996471230742,-22.35434165291996,139.46991977121266,-22.354331364729696,139.46992568263593,-22.35433514224588,2.6221162334209898,1.9798989972063457,0.932372640865964,0.9320656802975654,135,743.6703686781227,14.154504713954791
290,139.4630561839244,-22.363730375450334,139.46309841291324,-22.363851435102323,139.4631078280302,-22.36384166047069,3.4150950542809335,2.408318953790164,1.1838754366239603,1.182937146019553,229,1082.0957680137053,22.00542322074398
291,139.48311884316428,-22.341563382001773,139.48310464605615,-22.341562373015773,139.48308798664675,-22.341574404332853,1.6736567743768012,1.0198038879398161,0.5807771290410457,0.5764971370448647,55,795.6567764931067,23.301590088189993
292,139.4757909714961,-22.34095267676412,139.4757758477946,-22.34096147023615,139.47576688944915,-22.34096182881991,2.6606788360731373,1.8439088617949289,0.9498685011709445,0.9493991342121186,139,764.670572427702,17.303739105447278
293,139.4446148403763,-22.356506274487685,139.44464627269429,-22.3564816290001,139.44464640183512,-22.356486132594288,2.773151068766428,1.8110770538471195,0.9202713644378039,0.920128436631406,151,517.5138187586332,15.198227012469372
295,139.46149473676402,-22.356341408508978,139.46151976724425,-22.35632553687452,139.4615148806146,-22.356332423250585,2.068353178330564,1.1661903793738349,0.6526896276842928,0.6520156891717409,84,530.0698287302009,15.786569408421592
296,139.4672018806787,-22.337897177650603,139.46706133929928,-22.337868189311955,139.46706006404264,-22.337851464739195,3.589593875735784,3.6769552276913466,1.3999227697565113,1.3986209885837009,253,930.6074276539268,24.138420067323423
297,139.47855490340262,-22.35784145090202,139.47825128665286,-22.35802564278798,139.47827158281274,-22.358002543124787,4.2159724909566085,4.9396356142148194,1.6769126300190635,1.6734857084431156,349,1118.3656752707457,28.561888154582952
298,139.48582437727038,-22.365452036793506,139.48575489167524,-22.36532634504214,139.48574591320488,-22.365318862161356,3.0193368709542443,2.433104979982936,1.0545536467026588,1.0537856712088012,179,596.0551113792512,20.86168839758185
299,139.4610743276648,-22.355063607138693,139.46099251122965,-22.355015709709164,139.46101484401302,-22.35502419754605,2.4306031118986,1.8439088493070483,0.7998690658208675,0.795819118892841,116,529.0899084229278,15.29786490910641
301,139.4896687696492,-22.362673850337405,139.48977359584646,-22.36256343453837,139.48975053692305,-22.362599587551117,2.8277100878514445,2.4413111206292895,1.0235008621385207,1.0122851690604617,157,405.1513320732033,18.32010504256425
302,139.48408018263703,-22.344729970785313,139.48401232072902,-22.344628124619632,139.4840188697725,-22.34463424925085,1.6583719174624105,1.4422204676052606,0.5857539703316081,0.5849325223583549,54,1018.213333744404,21.329167242321155
303,139.46245677088135,-22.340563681055432,139.4623923394635,-22.340550546588307,139.46238969853147,-22.34055292152988,2.8988585676524607,1.8973665864794722,0.9105800881361579,0.9104974838497939,165,338.0833014256353,14.859421627136976
